frame,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
10,334.55047607421875,132.20013427734375,332.423095703125,128.4381103515625,339.3449401855469,127.733154296875,317.80780029296875,129.3005828857422,351.8280334472656,128.48037719726562,305.1879577636719,150.05352783203125,359.37841796875,149.57652282714844,290.5355224609375,171.406494140625,396.1006164550781,172.05682373046875,313.2752685546875,166.56358337402344,431.9803466796875,172.82708740234375,304.1251220703125,247.0958251953125,335.8236083984375,246.08682250976562,302.7600402832031,339.8526611328125,325.9453430175781,337.27191162109375,302.9383239746094,360.0,311.29425048828125,360.0
11,328.0300598144531,107.3822021484375,324.7894592285156,103.31681823730469,333.2809753417969,102.8855972290039,316.9740295410156,106.22238159179688,347.2480163574219,106.01994323730469,302.28955078125,124.99522399902344,360.56756591796875,123.34841918945312,273.80023193359375,160.572998046875,382.4786682128906,162.2898712158203,276.32928466796875,163.3407440185547,403.88812255859375,169.5563507080078,307.1394348144531,181.38844299316406,341.51123046875,179.55599975585938,302.1062316894531,242.88449096679688,331.9253234863281,238.31582641601562,295.2530212402344,348.12896728515625,315.9664306640625,343.3225402832031
12,326.9241638183594,70.83285522460938,323.6970520019531,67.04388427734375,333.1341857910156,66.08706665039062,312.71722412109375,66.9635009765625,344.9635009765625,65.11967468261719,303.1509704589844,83.93832397460938,357.1547546386719,82.1046142578125,319.08673095703125,133.79623413085938,384.80029296875,136.97195434570312,358.1636657714844,165.8138885498047,415.0250549316406,166.7377471923828,302.9447937011719,147.25672912597656,336.5203857421875,146.15072631835938,297.67718505859375,233.78868103027344,326.7300720214844,235.14630126953125,296.1418151855469,349.24810791015625,309.54571533203125,353.3848571777344
22,540.8465576171875,175.3456268310547,540.259033203125,173.55947875976562,539.99169921875,173.77005004882812,536.6288452148438,174.11953735351562,538.39990234375,174.51780700683594,536.4533081054688,181.56565856933594,536.0759887695312,182.31642150878906,538.9485473632812,192.02053833007812,537.0057983398438,193.70001220703125,545.254150390625,200.03335571289062,543.6682739257812,200.94070434570312,536.2911987304688,204.5066680908203,536.404541015625,205.02407836914062,536.5542602539062,225.17453002929688,536.4391479492188,225.4860382080078,530.30908203125,245.47894287109375,529.7227172851562,246.35772705078125
23,539.3612670898438,175.12069702148438,538.9371337890625,173.3345184326172,538.4795532226562,173.543212890625,535.7808227539062,173.84327697753906,537.3538208007812,174.2650909423828,535.8567504882812,181.2924041748047,535.7557373046875,182.0716094970703,538.5056762695312,191.87078857421875,537.2136840820312,193.49449157714844,544.3489379882812,199.71682739257812,543.09716796875,200.53604125976562,536.2131958007812,204.17849731445312,536.4884033203125,204.70167541503906,536.8621826171875,224.39236450195312,536.7988891601562,224.6993865966797,531.0494995117188,244.49700927734375,530.3516235351562,245.24447631835938
28,323.58697509765625,154.4625244140625,321.7932434082031,148.14730834960938,324.3972473144531,148.59182739257812,317.42138671875,136.51315307617188,325.92462158203125,139.98239135742188,308.646240234375,143.88491821289062,327.10845947265625,150.45220947265625,317.0345764160156,191.51947021484375,342.56304931640625,209.30813598632812,343.8885498046875,232.95370483398438,344.92333984375,238.42666625976562,287.7633056640625,210.43211364746094,301.48291015625,212.298095703125,299.51898193359375,316.0812072753906,329.47503662109375,319.1492004394531,277.7041015625,360.0,308.13116455078125,360.0
29,321.0822448730469,164.62576293945312,323.175048828125,158.28184509277344,318.33148193359375,158.65005493164062,330.7786865234375,150.1014404296875,314.6558837890625,152.52183532714844,332.8017272949219,158.25259399414062,312.23724365234375,160.15689086914062,341.9222106933594,206.30081176757812,325.9152526855469,212.6016082763672,355.51763916015625,240.57162475585938,349.38067626953125,235.58969116210938,310.2335510253906,218.47726440429688,298.4030456542969,218.63999938964844,304.51220703125,316.25494384765625,321.1603088378906,319.6331787109375,273.477294921875,360.0,306.2101745605469,360.0
30,320.11285400390625,167.46803283691406,324.03411865234375,160.7864532470703,316.689208984375,161.09906005859375,336.16339111328125,151.69219970703125,310.5843200683594,153.49815368652344,342.0303955078125,157.7542724609375,302.34893798828125,158.0103759765625,348.3092041015625,204.3521270751953,305.35198974609375,205.7432098388672,373.7137451171875,238.47569274902344,342.68267822265625,218.29383850097656,321.1097412109375,205.74627685546875,298.0108947753906,205.52134704589844,308.0125732421875,321.6801452636719,319.66253662109375,322.56451416015625,276.90130615234375,360.0,310.6240539550781,360.0
36,321.36517333984375,181.73065185546875,326.3368835449219,175.58355712890625,315.6444396972656,175.69175720214844,332.4072570800781,173.824951171875,305.77691650390625,174.6106719970703,335.3691101074219,192.7721710205078,296.63128662109375,195.8759307861328,343.010009765625,227.4060516357422,293.86981201171875,236.64328002929688,367.93975830078125,253.0633544921875,321.4390869140625,261.4810791015625,325.36492919921875,253.68496704101562,301.84686279296875,256.2396240234375,321.53558349609375,330.98583984375,310.9756164550781,335.66717529296875,301.8990478515625,360.0,302.4019470214844,360.0
37,320.6788330078125,176.5572052001953,324.2668151855469,170.14859008789062,316.2958984375,170.6128387451172,329.9167175292969,167.44549560546875,309.2322998046875,169.00616455078125,336.2188720703125,185.8421173095703,300.1380615234375,189.87525939941406,343.8787841796875,227.84530639648438,306.79962158203125,240.244873046875,371.4188537597656,251.93011474609375,351.5821533203125,255.97576904296875,327.79962158203125,246.61904907226562,306.016845703125,249.45196533203125,321.7781066894531,330.1401672363281,312.27752685546875,335.7615966796875,299.582275390625,360.0,302.38525390625,360.0
